2015-11-13,BYU,85,Utah Valley,54
2015-11-13,Stanford,93,Green Bay,89
2015-11-13,Montana,74,Boise St.,72
2015-11-13,LSU,81,McNeese St.,70
2015-11-13,Wisconsin,67,Western Ill.,69
2015-11-13,SIU Edwardsville,79,Arkansas St.,70
2015-11-13,Buffalo,109,Pitt.-Bradford,49
2015-11-13,Coastal Caro.,56,Nevada,73
2015-11-13,Minnesota,76,UMKC,58
2015-11-13,Grand Canyon,82,Portland St.,72
2015-11-13,Weber St.,70,Utah St.,73
2015-11-13,Tulane,67,Alabama A&amp;M,68
2015-11-13,Texas Tech,77,High Point,73
2015-11-13,New Mexico St.,91,Houston Baptist,69
2015-11-13,Marquette,80,Belmont,83
2015-11-13,Missouri,83,Wofford,74
2015-11-13,Mississippi St.,106,Eastern Wash.,88
2015-11-13,Baylor,97,Stephen F. Austin,55
2015-11-13,South Dakota St.,87,Chadron St.,52
2015-11-13,Incarnate Word,86,Texas Lutheran,65
2015-11-13,Iowa,76,Gardner-Webb,59
2015-11-13,TCU,90,Southeastern La.,77
2015-11-13,Arizona,79,Pacific,61
2015-11-13,Texas A&amp;M,104,S.C. Upstate,64
2015-11-13,Auburn,75,UAB,74
2015-11-13,Navy,41,Florida,59
2015-11-13,UC Irvine,89,UC San Diego,73
2015-11-13,Oregon,80,Jackson St.,52
2015-11-13,Fresno St.,69,Pepperdine,66
2015-11-13,Washington,77,Texas,71
2015-11-13,Loyola Marymount,79,Cal St. Fullerton,74
2015-11-13,San Diego St.,71,Illinois St.,60
2015-11-13,Santa Clara,63,Lipscomb,65
2015-11-13,Portland,98,Oregon Tech,81
2015-11-13,Idaho St.,78,Great Falls,72
2015-11-13,UNLV,74,Cal Poly,72
2015-11-13,Seattle,56,Ark.-Pine Bluff,58
2015-11-13,Utah,82,Southern Utah,71
2015-11-13,St. Mary&#039;s (CA),80,San Fran. St.,56
2015-11-13,UCLA,81,Monmouth,84
2015-11-13,California,97,Rice,65
2015-11-14,Massachusetts,85,Howard,79
2015-11-14,UNI,78,Colorado St.,84
2015-11-14,Georgetown,80,Radford,82
2015-11-14,Penn St.,62,VMI,50
2015-11-14,Ohio,85,FGCU,75
2015-11-14,Bowling Green,79,New Orleans,61
2015-11-14,Mid-Atlantic Christ.,26,Grambling,85
2015-11-14,Appalachian St.,76,Jacksonville,68
2015-11-14,Boston College,75,St. Francis (NY),49
2015-11-14,Toledo,96,West Va. Tech,65
2015-11-14,La Salle,78,Towson,76
2015-11-14,Winthrop,102,Hampton,95
2015-11-14,UALR,76,Central Baptist,57
2015-11-14,East Tenn. St.,107,Averett,59
2015-11-14,Northern Ill.,72,South Dakota,65
2015-11-14,Tulsa,98,Central Ark.,81
2015-11-14,UNC Greensboro,86,Greensboro,69
2015-11-14,UC Riverside,100,William Jessup,68
2015-11-14,Wright St.,67,Cal St. Northridge,72
2015-11-14,South Carolina,84,Norfolk St.,69
2015-11-14,Stony Brook,103,Merchant Marine,32
2015-11-14,Providence,76,Harvard,64
2015-11-14,Virginia Tech,82,Alabama St.,85
2015-11-14,Kent St.,79,Youngstown St.,70
2015-11-14,Long Beach St.,91,BYU-Hawaii,57
2015-11-14,Liberty,90,Baptist Bible (PA),52
2015-11-14,Montana St.,90,Hawaii Hilo,85
2015-11-14,Oregon St.,74,NW Christian,52
2015-11-14,Butler,144,Citadel,71
2015-11-14,Davidson,90,UCF,85
2015-11-14,Nebraska,97,Mississippi Val.,51
2015-11-14,Memphis,67,Southern Miss.,49
2015-11-14,Duke,113,Bryant,75
2015-11-14,SMU,85,Sam Houston St.,50
2015-11-14,Kentucky,87,NJIT,57
2015-11-14,Loyola (IL),84,Eureka,51
2015-11-14,Western Ky.,97,Campbellsville,77
2015-11-14,Texas-Arlington,77,Fordham,72
2015-11-14,Tennessee Tech,110,Piedmont,72
2015-11-14,Lipscomb,65,Milwaukee,71
2015-11-14,Akron,65,Cleveland St.,53
2015-11-14,DePaul,69,Western Mich.,63
2015-11-14,Utah Valley,89,Great Falls,60
2015-11-14,UTEP,96,Loyola (LA),49
2015-11-14,Creighton,93,Texas Southern,70
2015-11-14,Bakersfield,93,San Diego Christian,69
2015-11-14,San Jose St.,54,Idaho,74
2015-11-14,Santa Clara,33,Denver,55
2015-11-15,Ohio St.,76,Mt. St. Mary&#039;s,54
2015-11-15,Rutgers,82,Howard,70
2015-11-15,Bucknell,82,Wake Forest,90
2015-11-15,Seton Hall,69,Wagner,59
2015-11-15,Clemson,78,UTSA,45
2015-11-15,Cincinnati,106,Robert Morris,44
2015-11-15,Lafayette,87,St. Peter&#039;s,86
2015-11-15,Binghamton,60,Army,75
2015-11-15,South Dakota,76,Cal St. Northridge,72
2015-11-15,Purdue,107,Vermont,79
2015-11-15,Valparaiso,83,Iona,58
2015-11-15,Illinois,80,North Dakota St.,74
2015-11-15,Minnesota,67,La.-Monroe,56
2015-11-15,Florida St.,109,Nicholls St.,62
2015-11-15,Denver,82,Lipscomb,69
2015-11-15,Evansville,80,Southeast Mo. St.,65
2015-11-15,Jacksonville St.,81,Fort Valley St.,68
2015-11-15,Troy,97,Reinhardt,82
2015-11-15,Southern Ill.,81,Florida A&amp;M,51
2015-11-15,High Point,93,N.C. Wesleyan,69
2015-11-15,North Carolina,92,Fairfield,65
2015-11-15,Penn,77,Central Conn. St.,61
2015-11-15,Western Caro.,90,UNC Asheville,81
2015-11-15,Northern Ill.,65,Wright St.,59
2015-11-15,Iowa,103,Coppin St.,68
2015-11-15,Neb. Omaha,104,St. Mary&#039;s (MN),58
2015-11-15,Richmond,108,Stetson,85
2015-11-15,Saint Joseph&#039;s,73,Niagara,62
2015-11-15,Saint Louis,85,Hartford,68
2015-11-15,Seattle,65,Sacramento St.,77
2015-11-15,Santa Clara,65,Milwaukee,71
2015-11-15,Missouri,73,Md.-East. Shore,55
2015-11-15,North Carolina St.,88,South Ala.,70
2015-11-15,Western Ill.,94,Hannibal-La Grange,57
2015-11-15,Eastern Wash.,126,George Fox,64
2015-11-15,Nevada,83,Montana St.,62
2015-11-15,UMKC,73,William Jewell,59
2015-11-15,UC Davis,79,Portland,66
2015-11-15,Stanford,93,Charleston So.,59
2015-11-15,Wisconsin,92,Siena,65
2015-11-15,UC Irvine,77,Loyola Marymount,53
2015-11-15,New Mexico St.,74,New Mexico,83
2015-11-15,Hawaii,74,Coastal Caro.,63
2015-11-15,UCLA,88,Cal Poly,83
2015-11-16,Long Beach St.,66,BYU,65
2015-11-16,Navy,58,Col. of Charleston,72
2015-11-16,Detroit,88,Central St. (OH),65
2015-11-16,FIU,67,Florida Mem.,51
2015-11-16,Savannah St.,59,Campbell,57
2015-11-16,UNC Wilmington,78,Eastern Ky.,59
2015-11-16,Boston U.,69,Albany (NY),64
2015-11-16,Indiana,102,Austin Peay,76
2015-11-16,Duquesne,95,New Orleans,75
2015-11-16,Old Dominion,77,Buffalo,58
2015-11-16,Michigan,88,Elon,68
2015-11-16,Yale,99,Sacred Heart,77
2015-11-16,Miami (FL),93,Louisiana,77
2015-11-16,Presbyterian,74,S.C. Upstate,73
2015-11-16,Chattanooga,94,Hiwassee,55
2015-11-16,North Florida,106,UTRGV,84
2015-11-16,VCU,92,Radford,74
2015-11-16,Indiana St.,70,Wyoming,55
2015-11-16,South Carolina St.,113,Voorhees,69
2015-11-16,West Virginia,86,James Madison,73
2015-11-16,South Fla.,57,NJIT,60
2015-11-16,Akron,100,Hiram,30
2015-11-16,Canisius,98,Lehigh,89
2015-11-16,Colgate,98,Cornell,101
2015-11-16,East Carolina,88,Charlotte,74
2015-11-16,Hofstra,96,Molloy,64
2015-11-16,Georgia Tech,69,Tennessee,67
2015-11-16,Ohio,75,Tennessee St.,67
2015-11-16,Mercer,69,George Mason,60
2015-11-16,Brown,71,Holy Cross,55
2015-11-16,Towson,69,Morgan St.,61
2015-11-16,St. John&#039;s (NY),75,UMBC,53
2015-11-16,FGCU,85,Texas Wesleyan,62
2015-11-16,Ball St.,73,Eastern Ill.,56
2015-11-16,Fairleigh Dickinson,111,FDU-Florham,70
2015-11-16,Longwood,89,La Roche,65
2015-11-16,UT Martin,79,Bethune-Cookman,86
2015-11-16,George Washington,73,Virginia,68
2015-11-16,IPFW,85,Manchester,53
2015-11-16,Loyola Maryland,68,Long Island,71
2015-11-16,South Carolina,84,Oral Roberts,66
2015-11-16,Northwestern St.,97,LSU-Alexandria,99
2015-11-16,Florida,104,N.C. A&amp;T,54
2015-11-16,Texas St.,84,Texas-Tyler,49
2015-11-16,N.C. Central,78,Allen,54
2015-11-16,Incarnate Word,73,Schreiner,49
2015-11-16,South Dakota St.,85,Weber St.,68
2015-11-16,Houston Baptist,102,Crowley&#039;s Ridge,62
2015-11-16,Samford,94,Aub.-Montgomery,79
2015-11-16,North Texas,110,Texas College,61
2015-11-16,Texas A&amp;M,100,Southeastern La.,58
2015-11-16,Iowa St.,106,Chicago St.,64
2015-11-16,Oklahoma St.,86,Ark.-Pine Bluff,72
2015-11-16,Mississippi St.,72,Southern U.,76
2015-11-16,Illinois St.,67,Morehead St.,66
2015-11-16,Tulane,79,Drake,74
2015-11-16,Ole Miss,82,Ga. Southern,72
2015-11-16,Vanderbilt,98,Gardner-Webb,62
2015-11-16,Arizona,90,Bradley,60
2015-11-16,Jacksonville St.,96,Oakwood,60
2015-11-16,Arkansas St.,81,Lyon,37
2015-11-16,Air Force,80,Tennessee Tech,70
2015-11-16,LSU,91,Kennesaw St.,69
2015-11-16,Idaho St.,110,Dickinson State,85
2015-11-16,Boise St.,101,Northern Ariz.,81
2015-11-16,UAB,72,Alabama St.,70
2015-11-16,Kansas St.,81,Columbia,71
2015-11-16,Marquette,75,IUPUI,71
